"filename", "language", "JavaScript", "HTML", "Markdown", "JSON", "SQL", "YAML", "CSS", "comment", "blank", "total"
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\Dump20220614.sql", "SQL", 0, 0, 0, 0, 113, 0, 0, 36, 24, 173
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 2, 3
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\dist\index.css", "CSS", 0, 0, 0, 0, 0, 0, 14, 0, 3, 17
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\dist\oauth2-redirect.html", "HTML", 0, 72, 0, 0, 0, 0, 0, 0, 8, 80
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\dist\openapi.yaml", "YAML", 0, 0, 0, 0, 0, 491, 0, 1, 3, 495
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\dist\swagger-initializer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 3, 3, 21
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\dist\swagger-ui-bundle.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\dist\swagger-ui-es-bundle-core.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\dist\swagger-ui-es-bundle.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\dist\swagger-ui-standalone-preset.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\dist\swagger-ui.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 1, 1, 4
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\dist\swagger-ui.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\index.html", "HTML", 0, 56, 0, 0, 0, 0, 0, 1, 4, 61
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\main.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 15, 19, 110
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\package-lock.json", "JSON", 0, 0, 0, 5987, 0, 0, 0, 0, 1, 5988
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\package.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\routes\auth.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 16, 18, 93
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\routes\recipes.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 13, 13, 91
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\routes\user.js", "JavaScript", 151, 0, 0, 0, 0, 0, 0, 58, 30, 239
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\routes\utils\DButils.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\routes\utils\MySql.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 8, 61
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\routes\utils\auth_utils.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\routes\utils\recipes_utils.js", "JavaScript", 150, 0, 0, 0, 0, 0, 0, 8, 24, 182
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\routes\utils\user_utils.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 8, 56
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\sql scripts\Select.sql", "SQL", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\sql scripts\create_tables.sql", "SQL", 0, 0, 0, 0, 35, 0, 0, 2, 4, 41
"c:\Users\arie4\github-classroom\Web-Development-Environments-2022\assignment3_2-209406164_206259848\sql scripts\delete_tables.sql", "SQL", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"Total", "-", 658, 128, 1, 6018, 152, 491, 16, 163, 180, 7807
